sensor ts value
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-14 03:42:10" 3448
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-15 03:40:35" 3501
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-16 03:42:20" 3762
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-17 03:41:45" 4057
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-18 03:41:53" 3829
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-19 03:43:48" 3116
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-20 03:42:52" 3279
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-21 03:41:43" 6008
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-22 03:40:39" 3280
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-24 03:42:13" 4493
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-25 03:42:55" 2535
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-26 03:44:04" 3037
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-27 03:42:36" 5201
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-02 03:42:59" 190
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-03 03:42:23" 370
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-04 03:38:59" 485
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-05 03:41:59" 415
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-06 03:37:10" 305
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-07 03:42:43" 225
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-08 03:42:11" 295
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-09 03:43:21" 340
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-10 03:39:56" 250
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-11 03:41:53" 280
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-12 03:39:59" 320
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-13 03:42:04" 254
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-14 03:42:10" 335
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-15 03:40:35" 320
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-16 03:42:20" 315
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-17 03:41:45" 805
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-18 03:41:53" 850
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-19 03:43:48" 540
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-20 03:42:52" 500
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-21 03:41:43" 365
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-22 03:40:39" 735
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-24 03:42:13" 455
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-25 03:42:55" 305
/qct/qexa-20/cocos/calibration/QB10/error_0_1 "2025-08-26 03:44:04" 375
